"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          79,      -8.313034015,      -8.397368264,      -8.516252458,      -8.311220143,      -7.782593542
          0,           0,          80,      -8.335276182,      -8.422295211,      -8.550403321,      -8.339528511,      -7.805565012
          0,           0,          81,       -8.35744176,      -8.447217011,      -8.584631168,      -8.368767528,      -7.828471592
          0,           0,          82,      -8.379560088,       -8.47199463,      -8.618811036,      -8.398998002,      -7.851283057
          0,           0,          83,      -8.401661323,      -8.496496097,      -8.652812691,      -8.430220489,      -7.873972925
          0,           0,          84,      -8.423767393,      -8.520608023,      -8.686502025,      -8.462378396,      -7.896515357
          0,           0,          85,      -8.445889575,      -8.544246564,      -8.719746855,      -8.495356063,      -7.918889095
          0,           0,          86,      -8.468034461,      -8.567363711,      -8.752413771,      -8.528973876,      -7.941086828
          0,           0,          87,      -8.490200262,      -8.589947931,      -8.784365593,      -8.562993189,      -7.963111588
          0,           0,          88,      -8.512372798,      -8.612024803,      -8.815457936,      -8.597120832,      -7.984971576
          0,           0,          89,      -8.534533484,      -8.633651932,      -8.845535535,      -8.631007366,      -8.006688114
          0,           0,          90,       -8.55665682,      -8.654907998,      -8.874427624,      -8.664261139,      -8.028287421
          0,           0,          91,      -8.578711486,      -8.675883627,      -8.901947217,      -8.696461498,      -8.049796003
          0,           0,          92,      -8.600663848,      -8.696671237,      -8.927891419,      -8.727175794,      -8.071239339
          0,           0,          93,       -8.62248405,      -8.717355079,      -8.952050866,      -8.755989681,      -8.092642484
          0,           0,          94,      -8.644145866,      -8.738004861,      -8.974225014,      -8.782541862,      -8.114024627
          0,           0,          95,      -8.665628261,      -8.758671782,      -8.994244048,       -8.80655276,      -8.135397334
          0,           0,          96,      -8.686921628,      -8.779390129,      -9.011994173,      -8.827850443,      -8.156769669
          0,           0,          97,      -8.708016455,      -8.800176802,      -9.027437701,      -8.846380105,      -8.178132821
